11615173835875533018,11,11,9990
7536704432598898393,12,12,9223372036854695667
7860836615814208632,12,12,9223372036854695677
11325114956089848611,12,6,170141183460469231731687303715884105727
10156525464128294321,10,8,-20
14229824344774695529,11,11,9990
3113818493849942977,11,7,10021
3443504009286891422,13,13,170141183460469231731687303715884105727
15269287075944294312,13,13,170141183460469231731687303715884105727
8282694828148282753,9,7,100061
15860934865687556113,7,11,170141183460469231731687303715884105727
13152685756434091531,13,13,170141183460469231731687303715884105727
9827414383832871638,12,12,9223372036854695657
7304127301935582356,8,8,170141183460469231731687303715884105727
15867721014731886797,8,8,10010
4757202420713845335,11,7,40
13464508213016423809,13,13,170141183460469231731687303715884105727
13257140585414757034,12,9,170141183460469231731687303715884105727
4617133701412676947,11,7,9990
14263080166573502759,11,11,29
13694973134275607281,12,12,9970
4041129843112010541,9,10,30
15548430686786109308,13,5,170141183460469231731687303715884105727
11443093507333594809,9,8,20
8434904558307196532,7,7,170141183460469231731687303715884105727
12754363911867265257,13,13,170141183460469231731687303715884105727
2967044904561525910,13,13,170141183460469231731687303715884105727
11330540769965519421,7,11,0
8629674148180200201,9,10,-40
12457625779055135430,7,11,170141183460469231731687303715884105727
14350350648618485412,8,10,9223372036854695628
17743247048700304083,13,5,170141183460469231731687303715884105727
2013653183739261791,12,7,-20
2052478896627398633,13,13,170141183460469231731687303715884105727
7784317898895609328,8,10,9223372036854695807
5134775565553888622,13,5,170141183460469231731687303715884105727
5701382946722373020,12,6,170141183460469231731687303715884105727
5455683009329842915,10,11,0
5004376251383654537,13,5,170141183460469231731687303715884105727
12621561852058241360,11,7,9961
12277487494786586550,13,13,170141183460469231731687303715884105727
16052630946165743040,12,11,0
10266482416046863585,11,7,-40
15355959463486969499,13,5,170141183460469231731687303715884105727
16132196503105081874,9,11,170141183460469231731687303715884105727
3331585307684275526,11,11,9970
16155470744158372208,12,6,9951
6525778985506322139,12,6,170141183460469231731687303715884105727
9563248660056985151,11,11,9960
15426779634455143231,13,13,170141183460469231731687303715884105727
4994387381214854337,13,13,170141183460469231731687303715884105727
11062551784899046493,8,10,200240
4841812467011431521,13,13,170141183460469231731687303715884105727
13883583768048641576,12,12,9223372036854795797
15332069952901545381,13,11,1110060
11002157412882611244,11,7,9970
7607538994001669476,11,7,9980
17320773763589700857,12,12,9223372036854795767
3538454864381465219,11,7,9960
9084326428684884465,12,12,9223372036854695667
10655037660327825661,8,10,1009930
17456151759243734861,11,7,9960
7654374103341956580,13,13,170141183460469231731687303715884105727
10869929107721044566,12,6,9223372036854695667
14664190126322314451,12,12,9223372036854695667
16361465149558584727,12,12,9223372036854695659
3980653842457847368,12,12,9223372036854695667
7642085479106422530,12,6,9223372036854795777
7355353070717192859,11,12,120
4729988540911845678,11,10,1
8327332092904283563,8,10,1110060
9877703764711667207,12,12,-1
14276761123964288327,11,9,69
14650158307109058944,11,11,10
823022139350649900,13,13,170141183460469231731687303715884105727
6471626142187969428,13,14,170141183460469231731687303715884105727
11416254814605017661,12,6,9223372036854695678
15863690442770347487,12,6,170141183460469231731687303715884105727
9103590096427100643,12,12,170141183460469231731687303715884105727
9508756162422770935,11,11,9961
12564133873122148613,11,11,9961
5714798512987092877,9,8,0
17145074582101057163,13,5,170141183460469231731687303715884105727
12480547182307577934,12,12,110149
16806052149142368867,8,10,170141183460469231731687303715884105727
4218654639873971147,12,12,9223372036854695657
2397973109411051860,13,13,170141183460469231731687303715884105727
14797772348555981149,12,6,9223372036854695687
11083087605154767883,12,12,9223372036854695697
3186545276317582256,12,6,-1
7374035019791462321,13,13,170141183460469231731687303715884105727
15747438046762717418,11,7,9980
11048834523860713575,10,8,-10
8973684720143167454,12,6,9223372036854695687
12717385296177391351,13,5,170141183460469231731687303715884105727
9262105639900919611,11,11,10000
11286539645753618087,10,12,29
17073784192776411367,8,11,-10
6374359985019821084,11,11,-10
2918044121589203240,12,6,9223372036854695687
5542354209817637709,12,10,100120
11335520753419986875,11,11,0
5169567374518084303,8,8,170141183460469231731687303715884105727
7058029781296694833,11,6,-10
5417439549907910363,12,6,9223372036854695677
14125026661198462103,11,11,9961
12216350988452940007,12,12,9223372036854795787
6693225777154268236,9,10,100139
8395311507915362846,13,5,170141183460469231731687303715884105727
10862415887970754741,13,13,170141183460469231731687303715884105727
7661618368390054697,7,11,170141183460469231731687303715884105727
8171557175868862715,12,6,9223372036854795767
11993837431115096423,11,11,9970
9456357688358036090,12,12,9223372036854695667
6635273739269782552,11,11,9961
6031378149085653730,8,10,170141183460469231731687303715884105727
8006156584086743960,11,7,9990
163906139827783510,11,11,0
5061999084231208925,8,10,100160
6834025320656802209,11,7,100120
6972150274024348423,12,12,9223372036854795817
13539664035769858776,8,6,0
7520088390295297854,13,13,170141183460469231731687303715884105727
